title,text,subject,date
"Thousands march in Helsinki in far-right, anti-facist demonstrations","HELSINKI (Reuters) - Supporters of the far right in Finland and anti-facists staged rival marches in the capital on Wednesday as the country celebrated 100 years of independence. Police in riot gear reinforced by security personnel from around the country made 10 arrests due to scattered fights and misbehavior. Around 2,000 people joined the anti-facist march while demonstrations by two far right groups also gathered up to 2,000 people, the police said. Anti-immigrant sentiment has been on the rise in the Nordic EU member country of 5.5 million. About 32,500 migrants and refugees arrived during Europe s migrant crisis in 2015. The number came down to 5,600 last year.  No nazis in Helsinki!  shouted anti-fascist demonstrators. Far-right marchers held a slogan saying  Towards freedom  and many carried torches. Last week, a court banned a neo-Nazi group called Nordic Resistance Movement but it took part in a march as the decision is yet to be implemented. Finland was part of the Russian Empire and won independence during the 1917 Russian revolution, then nearly lost it fighting the Soviet Union in World War Two. ",worldnews,"December 6, 2017 "
Marseille attacker probably radicalized by brother: police,"ROME (Reuters) - The brother of the man who killed two women with a knife outside Marseille train station last week was probably a foreign fighter in Syria and Iraq, Italian investigators said on Monday. Italian police arrested 25-year-old Tunisian Anis Hannachi in Northern Italy on Saturday evening. He had been in Italy since Oct. 4 or earlier, police said. His older brother, the 29-year-old Ahmed, was shot dead by a French soldier after killing the two women on Oct. 1.  Ahmed lived south of Rome with his Italian wife from 2008 to 2014, and was known to police only for  petty crimes , Italy s chief anti-terrorism prosecutor Franco Roberti told reporters.   Ahmed never showed any signs of radicalization in Italy,  Roberti said.  The investigative hypothesis we re working on is that the younger brother radicalized the older one.  The militant Islamic State group claimed responsibility for the Marseille attack, but did not name Ahmed as the assailant. Anis has refused to talk to Italian investigators, Roberti said. He was arrested on an international arrest warrant issued by the French, who are investigating the Marseille attack as a  probable  terrorist action. It is likely that Anis will be extradited to France in a matter of days, Roberti added.   Anis was flagged as a dangerous individual who probably had been a foreign fighter  in Iraq and Syria, Claudio Galzerano, director of an Italian anti-terrorism police squad, told reporters.  Anis was arrested on suspicion of complicity in his brother s attack and membership of a terrorist group. He had been fingerprinted and photographed by police in 2014, when he reached Italy by boat and was immediately sent back home. However, that previous identification meant police were sure they had arrested the right man when they tracked him down on Saturday evening riding a bicycle in the center of Ferrara, in Northern Italy.  He had no identification on him, gave police a false name, and told them he was Algerian, Galzerano said. Police are now investigating Anis s possible contacts in Italy.  The Marseille attacker s estranged wife told Italy s Corriere della Sera newspaper on Sunday that she did not believe Ahmed had become a radical Islamist.  He didn t care about religion,  Ramona Cargnelutti told Corriere in an interview.  I ve never seen him enter a Mosque.  While admitting she had not seen him for more than two years, she said the murder of the two women was more likely a robbery gone wrong because he was a drug user and always in need of cash. Roberti said Italian prosecutors will be talking to Cargnelutti in the coming days as part of their investigation. ",worldnews,"October 9, 2017 "
"U.S. farmers slam Trump's Cuba clampdown, press forward with trade visit","CHICAGO (Reuters) - U.S. farm groups criticized President Donald Trump’s decision to retreat from his predecessor’s opening toward Cuba, saying it could derail huge increases in farm exports that totaled $221 million last year. A trade delegation from Minnesota, one of the largest U.S. agriculture states, vowed to carry on with its planned visit to Cuba next week. “We’re going to continue to beat the drum and let them (the Trump administration) know that trade is good for agriculture,” said Kevin Paap, a farmer in the delegation. Trump signed a presidential directive on Friday rolling back parts of former President Barack Obama’s opening to the Communist-ruled country after a 2014 diplomatic breakthrough between the two former Cold War foes. Farm groups saw the move as a step backward in what had been an improving trade relationship between the two countries which are just 90 miles (145 kms) apart, even though agriculture is not directly targeted. U.S. law exempts food from a decades-old embargo on U.S. trade with Cuba, but cumbersome rules on how transactions were executed have made deals difficult and costly. Since Obama’s detente, substantial headway has been made, however, with shipments of U.S. corn and soybeans to Cuba soaring 420 percent in 2016 from a year earlier to 268,360 tonnes, U.S. Department of Agriculture data shows. Through the first four months of 2017, total shipments of U.S. grain and soy were 142,860 tonnes, up from 49,090 tonnes during the same period of 2016. While the quantities are dwarfed by total U.S. exports — nearly 56 million tonnes of corn alone last year — the added volumes were welcome as farmers face a fourth year of languishing grain prices and crimped incomes. “At a time when the farm economy is struggling, we ask our leaders in Washington not to close doors on market opportunities for American agriculture,” Wesley Spurlock, president of the National Corn Growers Association, said in a statement. The group sees an opportunity for $125 million more a year in trade to Cuba. Trump’s move could cut off near-term sales and stymie economic development that would drive longer-term demand growth, said Tom Sleight, president of the U.S. Grains Council, a grain trade development organization, in a statement. “Neither of those outcomes is favorable for the U.S. ag sector or the Cuban people,” he added. Paap said the United States should be doing more to encourage exports. “It’s frustrating because we’ve made some advances and built those relationships,” he said. ",politicsNews,"June 16, 2017 "
Turkey investigates reports that folk dancers sought asylum,"ANKARA (Reuters) - Turkey is investigating reports that 11 Turkish folk dancers applied for asylum after attending a folk dance festival in the Hungarian capital Budapest, state-run news agency Anadolu said. Ankara prosecutors have launched an investigation into the dancers, who received special passports to attend the festival, as only five dancers of a group of 16 returned to Turkey. It was not clear where the remaining dancers may have sought asylum. The Hungarian Immigration Office said they did not submit asylum requests in Hungary, but gave no further details. The folk dance team from Ankara arrived on Nov 1, four days before the event, the private Dogan News Agency said. The team had previously attended an event in Bosnia and Herzegovina in July, and the whole team had returned to Turkey afterwards, according to media reports. It was not immediately clear why the dancers sought refuge. Turkey has jailed more than 50,000 people in the aftermath of a failed coup attempt last year and is seeking thousand of others for alleged ties to the coup. ",worldnews,"December 5, 2017 "
Trump administration would ignore WTO rulings it sees as anti-U.S.: FT,"WASHINGTON (Reuters) - U.S. President Donald Trump’s administration is preparing to ignore any rulings by the World Trade Organization that it sees as an affront to U.S. sovereignty, the Financial Times reported on Tuesday, citing a report prepared by officials. The draft document, due to be sent to the U.S. Congress on Wednesday, marks the first time the new administration has laid out its trade plans in writing, the Times said. “Ever since the United States won its independence, it has been a basic principle of our country that American citizens are subject only to laws and regulations made by the U.S. government — not rulings made by foreign governments or international bodies,” the report said, according to the Times. “Accordingly, the Trump administration will aggressively defend American sovereignty over matters of trade policy,” the report said, according to the Times. The Wall Street Journal, which also said it reviewed the  document, said the policy represents a dramatic departure from the Obama administration, which emphasized international economic rules and the authority of the WTO, a body that regulates trade and resolves disputes among its members. By contrast, the Trump administration will more assertively defend U.S. sovereignty over trade policy, ramp up enforcement of U.S. trade laws, and use “all possible sources of leverage to encourage other countries to open up their markets,” the document said, according to the Journal. The White House did not immediately respond to a Reuters request for comment.  Congress requires the president to submit the administration’s trade policy annually by March 1. In the face of Republican concerns, a congressional aide said language in the draft challenging the WTO could still be toned down in a final, public version, the Journal reported. Washington is facing several important WTO decisions, particularly involving China. Potentially the most important is a WTO complaint filed in December by Beijing against the EU and the United States for blocking China’s request to be treated as a “market economy” under the institution’s rules. A final ruling could still be years away. But were the U.S. to ignore a finding in China’s favor it could have major consequences for the WTO as a venue for resolving trade disputes before they fester into destructive trade wars, the Times said.  ",politicsNews,"March 1, 2017 "
China says North Korean situation more serious by the day,"BEIJING (Reuters) - The situation on the Korean peninsula is getting more serious by the day and cannot be allowed to spin out of control, Chinese Foreign Minister Wang Yi told his German counterpart, the state-run China News Service said on Thursday. A resolution to the North Korea issue cannot only rely on sanctions and not talks, Wang said, meeting German Foreign Minister Sigmar Gabriel on the sidelines of a United Nations meeting in New York on Wednesday, the report added. ",worldnews,"September 21, 2017 "
Exxon must confer with New York AG on Tillerson emails: judge,"NEW YORK (Reuters) - A New York state judge on Wednesday ordered ExxonMobil Corp to work with New York’s attorney general to recover lost emails from an account once used by U.S. Secretary of State Rex Tillerson when he was the oil company’s chief executive. Justice Barry Ostrager of the State Supreme Court in Manhattan also ordered Exxon by March 31 to turn over documents from its management committee that had been subpoenaed by Eric Schneiderman, the attorney general. Schneiderman had issued the subpoena in November, in connection with his probe into whether Exxon misled investors and the public about climate change. At a court hearing on Wednesday, a lawyer for the attorney general said Exxon had just made a “bombshell” revelation that it had lost a year of emails from an account that Tillerson had used, but under the alias “Wayne Tracker.”     Tillerson used the alias account to send and receive information about climate change and other matters, Schneiderman said in a March 13 letter to the court. Schneiderman said Exxon failed to disclose the “Wayne Tracker” account, and that it had been uncovered during the review of other materials. The letter also said Exxon had produced 60 documents bearing the “Wayne Tracker” email, but had not said the account was Tillerson’s. Exxon responded that the account was proper, enabling Tillerson to communicate easily with other Exxon officials, and set up because of the flood of email that Tillerson already received. It has also said it does not consider the lost emails significant, and that copies of many would already have been turned over to the attorney general. In December, Tillerson left Exxon, where he had also been chairman, and stepped down as chairman of the American Petroleum Institute trade group. The discovery of Tillerson’s account came after disclosures that former Secretary of State Hillary Clinton and current Vice President Mike Pence, when he was Indiana’s governor, had used previously undisclosed accounts to send and receive mail electronically. ",politicsNews,"March 22, 2017 "
Turkey says 80 militants killed in air strike in north Iraq,"ISTANBUL (Reuters) - Turkey s military said on Wednesday that more than 80 militants were killed in an air strike on Monday in northern Iraq, where Turkish jets have frequently targeted PKK fighters. It said in a statement that a weapons depot and two vehicles were also destroyed in the air strike. The Kurdistan Workers Party (PKK), which has been waging an insurgency in southeast Turkey since the 1980s, also has bases across the border in Iraq. ",worldnews,"November 29, 2017 "
World Bank approves $150 million disaster fund for Dominican Republic,"WASHINGTON (Reuters) - The World Bank on Thursday approved $150 million in disaster financing for the Dominican Republic to help it better prepare for natural disasters, weeks after the country was pummeled by two major hurricanes. The loan was the first contingency line of credit approved by the World Bank for a Caribbean country under the so-called Catastrophe Deferred Drawdown Option. The facility provides countries with financing to prepare them for natural disasters without taking government resources away from social or development programs, the World Bank said. The Dominican Republic was battered by Hurricane Irma on Sept. 7 and drenched days later by Hurricane Maria, forcing evacuations and damaging infrastructure and homes.       This financing will help us mitigate risks from climate shocks, natural disasters, as well as pandemics,  Dominican Republic President Danilo Medina said in a statement. Tahseen Sayed, World Bank director for the Caribbean, said the financing would help the Dominican Republic strengthen and speed up its response to disasters.  The most important lesson from our experience in disaster response across the world is to invest in prevention and preparedness to be able to respond speedily when disaster strikes,  said Sayed. Economic damage from disasters in the Dominican Republican is estimated at about $420 million a year, according to a recent World Bank and Ministry of Economy, Planning and Development study.  ",worldnews,"September 29, 2017 "
Q&A: Did Sessions break the law by denying knowledge of Russia contacts?,"(Reuters) - U.S. Attorney General Jeff Sessions on Tuesday denied that he misled legislators when he previously failed to disclose a meeting he attended with then-candidate Donald Trump and aides where campaign connections to Russia were discussed. Sessions testified in Congress that, following a guilty plea by Trump campaign foreign policy advisor George Papadopoulos, he now remembers a March 2016 meeting at which Papadopoulos was present and suggested he could arrange a meeting with Russian President Vladimir Putin. Democratic Representative Ted Lieu, who sits on the House of Representatives Judiciary Committee, said on Twitter on Tuesday he believes Sessions committed perjury when he previously denied knowledge of contact between Trump’s campaign and Russia.  The following describes the crime of perjury and whether it would apply to Sessions’ conduct. What is perjury?     A person can be convicted of perjury only if they intentionally make a false statement under oath about a fact pertinent to a relevant investigation or criminal case. Under federal law the penalty for perjury is a prison sentence of up to five years or eight years in terrorism-related cases. “You can’t x-ray people’s minds to see what they were thinking and what they knew, so perjury can be a difficult crime to prove,” said Bennett Gershman, a professor of criminal law at Pace Law School.  Did Sessions commit perjury?     Some legal experts said there is a strong argument that Sessions committed perjury at an Oct. 18 oversight hearing before the Senate Judiciary Committee. During that hearing, Democratic Senator Al Franken asked Sessions whether “surrogates from the Trump campaign had communications with the Russians.” Sessions responded, “I did not, and I’m not aware of anyone else that did, and I don’t believe it happened.” Gershman said that Sessions’ failure to disclose the Papadopoulos meeting could amount to perjury. Perjury prosecutions based on congressional testimony are rare, in part because lawmakers often ask circuitous questions. But in this case Franken asked a straightforward question and the response Sessions gave was misleading, Gershman said. However, Stuart Green, a professor of criminal law at Rutgers University School of Law, said Sessions would have a plausible argument that Papadopoulos’ communications were not the type of contacts Franken was asking about since they were with Russian government intermediaries rather than Russian officials. “There’s a bit of wiggle room there,” Green said.     What if Sessions says he forgot about Papadopoulos’ remarks?     Sessions said at the hearing on Tuesday that he forgot about the March 2016 meeting because the Trump campaign was “a form of chaos” from the beginning. “We traveled all the time, sometimes to several places in one day. Sleep was in short supply,” he said. A prosecutor could use circumstantial evidence to undermine such a defense, lawyers said. Gershman said Sessions’ statement that he did not recall Papadopoulos’ remarks at the meeting would raise skepticism since Sessions led the meeting, Trump attended it and important national security matters were discussed. “It’s something a person would be hard-pressed to claim they don’t remember,” he said.      Who could prosecute Sessions for perjury?     Any charges against Sessions would likely be brought by Special Counsel Robert Mueller. Green said that Mueller’s mandate clearly encompasses looking into whether Sessions tried to conceal the extent of Russia’s influence in the election. But Gershman noted that Mueller may be reluctant to charge Sessions with perjury because the case would not be solid. “When you bring a charge against a high-profile figure you don’t want to lose because then it looks like a witchunt,” he said.     ",politicsNews,"November 14, 2017 "
